"","Year","ID1","code","ASAL","AvgTemp_MarMay","SDTemp_MarMay","Cum_DD_MarMay","HeatWDays_MarMay","MaxTemp_MarMay","AvgTemp_MarAug","SDTemp_MarAug","Cum_DD_MarAug","HeatWDays_MarAug","MaxTemp_MarAug","AvgTemp_OctDec","SDTemp_OctDec","Cum_DD_OctDec","HeatWDays_OctDec","MaxTemp_OctDec","SeasRain_MarMay","Prec2Months_MarMay","PrecStDev_MarMay","PrecCoefVar_MarMay","DrySpell_MarMay","DrSpell10_MarMay","DrSpell20_MarMay","MaxRain_MarMay","SeasRain_MarAug","Prec2Months_MarAug","PrecStDev_MarAug","PrecCoefVar_MarAug","DrySpell_MarAug","DrSpell10_MarAug","DrSpell20_MarAug","MaxRain_MarAug","SeasRain_OctDec","Prec2Months_OctDec","PrecStDev_OctDec","PrecCoefVar_OctDec","DrySpell_OctDec","DrSpell10_OctDec","DrSpell20_OctDec","MaxRain_OctDec","DrySpell4_MAM","DrySpell4_MAMJJA","DrySpell4_OND","HeatWDays_Mar","HeatWDays_Apr","HeatWDays_May","HeatWDays_Jun","HeatWDays_Jul","HeatWDays_Aug","HeatWDays_Sep","HeatWDays_Oct","HeatWDays_Nov","HeatWDays_Dec","DrySpell10_Mar","DrySpell4_Mar","DrySpell10_Apr","DrySpell4_Apr","DrySpell10_May","DrySpell4_May","DrySpell10_Jun","DrySpell4_Jun","DrySpell10_Jul","DrySpell4_Jul","DrySpell10_Aug","DrySpell4_Aug","DrySpell10_Sep","DrySpell4_Sep","DrySpell10_Oct","DrySpell4_Oct","DrySpell10_Nov","DrySpell4_Nov","DrySpell10_Dec","DrySpell4_Dec","name","Admin1","county","Admin2","Area","Yield","MT","west1","AvgTemp_OctDec_L1","SDTemp_OctDec_L1","Cum_DD_OctDec_L1","HeatWDays_OctDec_L1","MaxTemp_OctDec_L1","SeasRain_OctDec_L1","Prec2Months_OctDec_L1","PrecStDev_OctDec_L1","PrecCoefVar_OctDec_L1","DrySpell_OctDec_L1","DrSpell10_OctDec_L1","DrSpell20_OctDec_L1","MaxRain_OctDec_L1","DrySpell4_OND_L1","HeatWDays_Sep_L1","HeatWDays_Oct_L1","HeatWDays_Nov_L1","HeatWDays_Dec_L1","DrySpell10_Sep_L1","DrySpell4_Sep_L1","DrySpell10_Oct_L1","DrySpell4_Oct_L1","DrySpell10_Nov_L1","DrySpell4_Nov_L1","DrySpell10_Dec_L1","DrySpell4_Dec_L1"
"41-1994","1994","41",51385,0,21.4,0.8,1964.8,0,27.3,20.5,1.1,3765.9,0,26.1,20.4,0.6,1877.4,0,26.2,451.4,268.2,10.6,2.2,16.2,1.2,0.4,56.6,911.5,268.2,10.5,2.1,16.6,2.3,0.4,61.7,234.6,207.1,6.7,2.6,17,0.9,0.5,38.2,5.4,11.4,7.5,0,0,0,0,0,0,0,0,0,0,0.8,2.2,0.1,1.5,0.1,1.6,0.5,2,0,1.8,0.6,2.1,1.1,2,0.5,2.2,0,2.6,0.3,2.7,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",27948,2.36,66044,1,21,0.5,1933.6,0,27.4,145.3,120.1,4.6,2.9,19,1.3,0.6,26.7,7.3,0,0,0,0,0.1,1.5,0.5,2.4,0.7,1.6,0,3.4
"41-1995","1995","41",51385,0,21.4,0.7,1964.4,0,27.3,20.7,0.9,3800.2,0,26.4,20.5,0.5,1882.1,0,26.3,336,236.6,9.1,2.5,23.3,2.1,0.8,47.6,662.6,236.6,8.6,2.4,24.2,3.4,1.1,54.6,256.8,217.5,8.3,3,18.3,2.4,0.8,51.2,5.8,11.9,7.7,0,0,0,0,0,0,0,0,0,0,0.7,2.3,0.3,2.2,1,2.2,0.1,1.6,0.4,1.5,0.9,3.2,1,1.1,0.5,2.6,0.3,3,1.5,2.8,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",10352,2.16,22360.32,1,20.4,0.6,1877.4,0,26.2,234.6,207.1,6.7,2.6,17,0.9,0.5,38.2,7.5,0,0,0,0,1.1,2,0.5,2.2,0,2.6,0.3,2.7
"41-1996","1996","41",51385,0,21.4,0.8,1964.9,0,27.2,20.4,1.2,3748.6,0,25.8,20.8,0.7,1912.1,0,26.7,363.7,261.1,9.3,2.4,12.8,1.3,0.1,44.4,847.9,261.1,9.2,2,17.1,3.1,0.1,46.3,167.2,149.7,4.9,2.8,17.2,2.4,0.2,27.4,8.2,12.3,7.5,0,0,0,0,0,0,0,0,0,0,0.3,2.3,0.2,3,0.4,3,1,1,0.1,2.1,0.6,1.7,0.8,1.9,1,2.9,0,2.6,1,2.4,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",8600,2.16,18576,1,20.5,0.5,1882.1,0,26.3,256.8,217.5,8.3,3,18.3,2.4,0.8,51.2,7.7,0,0,0,0,1,1.1,0.5,2.6,0.3,3,1.5,2.8
"41-1997","1997","41",51385,0,21.2,1.4,1948.1,0,27.3,20.7,1.2,3803.1,0,26.4,20.4,0.7,1877.3,0,25.5,443.8,379.6,9.1,1.9,23.5,2.3,0.6,47.6,860.6,379.6,9.7,2.1,37.3,4.4,1.2,55.6,440.3,372.1,9,1.9,12.9,1,0.1,45.2,4.5,9,6.2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1.2,1.5,0.8,2.1,1,1.9,1,1.5,0.6,2.6,0.2,2.1,0,1.3,0.7,2.7,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",7910,1.26,9954,1,20.8,0.7,1912.1,0,26.7,167.2,149.7,4.9,2.8,17.2,2.4,0.2,27.4,7.5,0,0,0,0,0.8,1.9,1,2.9,0,2.6,1,2.4
"41-1998","1998","41",51385,0,22,0.7,2024.4,0,28,20.9,1.3,3850.1,0,26.6,20.8,0.4,1911,0,27.2,322,138.8,7.5,2.1,19.4,2,0.8,36.7,742,138.8,8.6,2.1,19.8,4.3,0.8,51.2,219.5,204.4,7.8,3.2,16.4,3.3,0.1,47.9,7.2,12.5,7.5,0,0,0,0,0,0,0,0,0,0,1,2.2,0,3.9,0,2.1,1,1,0.4,2.1,0.3,2.8,0.3,2.3,0.3,2.7,0.6,3.1,1.9,2.2,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",12500,2.48,30937.5,1,20.4,0.7,1877.3,0,25.5,440.3,372.1,9,1.9,12.9,1,0.1,45.2,6.2,0,0,0,0,0.6,2.6,0.2,2.1,0,1.3,0.7,2.7
"41-1999","1999","41",51385,0,21,0.8,1934.7,0,26.9,20.3,1,3743.4,0,26,20.4,0.6,1872.8,0,26.1,373.2,291,6.7,1.7,12.2,1.4,0.1,28.1,702,291,8,2.1,18.2,4.2,0.3,52.2,269.6,230.8,9.8,3.3,24,2.5,0.7,61.9,6.9,13,5.7,0,0,0,0,0,0,0,0,0,0,0.9,1.8,0.2,2.4,0.3,2.7,0.4,2.7,0.8,2.3,1,2.3,0.1,2.9,0.5,1.3,0.8,2.9,1.2,1.6,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",13000,2.64,34290,1,20.8,0.4,1911,0,27.2,219.5,204.4,7.8,3.2,16.4,3.3,0.1,47.9,7.5,0,0,0,0,0.3,2.3,0.3,2.7,0.6,3.1,1.9,2.2
"41-2000","2000","41",51385,0,21.8,0.6,2002.6,0,26.1,20.8,1.1,3831.9,0,25.7,20.7,0.6,1903.1,0,26.6,212.3,88.8,7,3.1,27.7,2.1,0.8,40.8,585.8,88.8,8.3,2.6,28,3.4,1,50.2,255.4,223.4,6.6,2.4,17.7,2.1,0,38.2,5.6,12.6,6.2,0,0,0,0,0,0,0,0,0,0,1.3,1.4,0,3.2,0.7,1.5,0.3,2.2,0,3.1,0.5,2.5,0.2,3.8,0.1,2.4,0.1,2.1,1,2.2,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",14500,2.17,31410,1,20.4,0.6,1872.8,0,26.1,269.6,230.8,9.8,3.3,24,2.5,0.7,61.9,5.7,0,0,0,0,0.1,2.9,0.5,1.3,0.8,2.9,1.2,1.6
"41-2001","2001","41",51385,0,20.7,0.6,1905.5,0,27.4,20.1,0.9,3702.4,0,26.1,20.7,0.5,1900.2,0,26.3,394.2,282.3,9,2.1,15.9,2.2,0.1,47.4,792.5,282.3,9,2.1,16.1,4,0.1,48.5,322.8,304.3,9,2.6,17.8,2.6,0.4,50.2,6.1,13.5,6.7,0,0,0,0,0,0,0,0,0,0,1,2.1,0.5,2.1,0.7,1.8,1,2,0.6,3,0,2.5,1,1.8,0.6,2.1,1.3,1.8,0.7,3.4,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",15800,3.19,50427,1,20.7,0.6,1903.1,0,26.6,255.4,223.4,6.6,2.4,17.7,2.1,0,38.2,6.2,0,0,0,0,0.2,3.8,0.1,2.4,0.1,2.1,1,2.2
"41-2002","2002","41",51385,0,21,0.8,1933.4,0,28,20.4,0.9,3753.4,0,26.5,20.5,0.6,1886.7,0,26.1,431.8,220.6,10.6,2.3,18.4,1.9,0.5,59.3,737.7,220.6,9.9,2.5,23.8,3.7,1.7,64.9,320.6,172.7,9.9,2.9,23,1.8,1,65.2,5.8,11.5,5.6,0,0,0,0,0,0,0,0,0,0,1,1.7,0.1,2.7,0.6,1.6,1.2,2.8,0.5,2.3,0.5,2,0.3,2.9,0.6,2.5,0.2,3,1,1.2,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",29300,2.12,62124,1,20.7,0.5,1900.2,0,26.3,322.8,304.3,9,2.6,17.8,2.6,0.4,50.2,6.7,0,0,0,0,1,1.8,0.6,2.1,1.3,1.8,0.7,3.4
"41-2003","2003","41",51385,0,21.4,1.2,1973,0,27.5,20.6,1.3,3785.4,0,26.3,20.9,0.7,1922.1,0,27.4,625.8,357.2,11.6,1.7,18.5,1.6,0.6,47.9,1070.1,357.2,10.9,1.9,18.9,3.3,0.6,56.8,184.1,128.3,6.2,3.1,22.7,2.5,1.3,37.8,5.1,11.9,6.2,0,0,0,0,0,0,0,0,0,0,1,1.7,0.5,1.5,0.1,1.9,0,2.6,0.8,2.5,0.4,1.7,0.7,2,0.6,2.5,0.9,2.1,1,2,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",27065.84,2.19,59359.26,1,20.5,0.6,1886.7,0,26.1,320.6,172.7,9.9,2.9,23,1.8,1,65.2,5.6,0,0,0,0,0.3,2.9,0.6,2.5,0.2,3,1,1.2
"41-2004","2004","41",51385,0,21.5,1,1975.4,0,27.2,20.6,1.1,3797.7,0,26.1,20.7,0.6,1903.4,0,26.2,464.8,328.7,9.5,1.9,20.6,2.9,0.9,39.5,770.5,328.7,10,2.4,33.6,4.5,2.1,63.1,288.1,240.1,8,2.6,15.3,1.8,0.2,46.4,4,8.8,7.6,0,0,0,0,0,0,0,0,0,0,1.9,1.9,0,1,1,1.1,1.3,2.3,1,1.7,0.6,2.4,1.3,1.4,0.5,2,0.1,2.9,0.2,3.6,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",33330,1.94,64765,1,20.9,0.7,1922.1,0,27.4,184.1,128.3,6.2,3.1,22.7,2.5,1.3,37.8,6.2,0,0,0,0,0.7,2,0.6,2.5,0.9,2.1,1,2
"41-2005","2005","41",51385,0,21.9,1.1,2010.9,0,27.3,20.8,1.4,3822.4,0,26.4,21.4,0.5,1969.3,0,26.4,489.2,211,8.6,1.6,10.8,1.3,0,38.4,823.7,211,10,2.2,22.4,2.6,0.7,77.1,158.2,132.3,6.8,3.9,26,3,1.3,51.8,5.2,11.5,5.7,0,0,0,0,0,0,0,0,0,0,0.3,3,0.7,2.6,0,0.6,0.1,2.5,1,1.4,0,2,0.5,2.5,1,3.1,1,1.8,1,1,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",33579,3.01,101153,1,20.7,0.6,1903.4,0,26.2,288.1,240.1,8,2.6,15.3,1.8,0.2,46.4,7.6,0,0,0,0,1.3,1.4,0.5,2,0.1,2.9,0.2,3.6
"41-2006","2006","41",51385,0,21.3,0.6,1961.2,0,27.3,20.8,0.8,3827.7,0,25.8,20.7,0.6,1906.7,0,26.7,427.6,298.7,9,2,14.2,2,0,40.8,796,298.7,8.9,2.1,14.6,3.3,0,51.7,520.8,403.9,12.4,2.2,19.4,2.6,0.6,59.9,6.3,13.9,5.1,0,0,0,0,0,0,0,0,0,0,0.8,2.4,0.3,1.6,0.7,2.5,1.3,2,0,1.8,0,2.7,0.1,2.2,1,1.2,0.7,1.9,0.9,2.1,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",35835,3.11,111363,1,21.4,0.5,1969.3,0,26.4,158.2,132.3,6.8,3.9,26,3,1.3,51.8,5.7,0,0,0,0,0.5,2.5,1,3.1,1,1.8,1,1
"41-2007","2007","41",51385,0,21.6,0.6,1983.1,0,27.3,20.6,1.2,3784.9,0,26.4,20.8,0.4,1914.3,0,25.5,458,255.3,10.8,2.2,17.9,2.3,0.4,52,995.6,255.3,10.7,2,19.8,3.6,0.8,59.2,138.1,106.4,4.1,2.8,12.7,1.9,0,26.4,6,10.3,7.5,0,0,0,0,0,0,0,0,0,0,1.1,2.5,0.4,2,0.3,3,0.1,1.1,1,1.3,0.2,1.8,0,1.6,0.4,2.5,0.3,2.9,0.7,2.4,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",34250,3.45,118145.7,1,20.7,0.6,1906.7,0,26.7,520.8,403.9,12.4,2.2,19.4,2.6,0.6,59.9,5.1,0,0,0,0,0.1,2.2,1,1.2,0.7,1.9,0.9,2.1
"41-2008","2008","41",51385,0,21.1,0.7,1939,0,28,20.5,0.9,3768.2,0,26.5,20.8,0.8,1913.2,0,27.2,294.6,194.7,6.8,2.1,11.6,1.5,0,36.8,685.3,194.7,8.2,2.2,15.1,2.6,0.2,57.1,360.8,346.9,9.5,2.4,21.5,2.5,1.2,50.3,6.8,13.3,5,0,0,0,0,0,0,0,0,0,0,0.4,1.8,0,3,0,2.4,0.7,2,0,2.3,0.1,2.3,0,2.6,0.2,2,1,1,1.2,2,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",32811.97,2.77,90957.19,1,20.8,0.4,1914.3,0,25.5,138.1,106.4,4.1,2.8,12.7,1.9,0,26.4,7.5,0,0,0,0,0,1.6,0.4,2.5,0.3,2.9,0.7,2.4
"41-2009","2009","41",51385,0,22.1,1,2031.5,0,26.9,21.4,1.1,3936.5,0,26,21.3,0.5,1962.3,0,26.1,364.8,186.2,10.4,2.6,22.8,2.3,0.6,48.6,606.9,186.2,10.5,3.2,23,4,0.8,90.4,347.4,179.6,9.9,2.6,14.6,3.3,0.1,66,6.8,13.8,7.1,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.8,3.2,0,2.2,0.4,2.4,1,2.7,0.2,2,0.5,2.2,0.8,2.2,0.6,2.1,0.9,2,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",35766,1.6,57179.07,1,20.8,0.8,1913.2,0,27.2,360.8,346.9,9.5,2.4,21.5,2.5,1.2,50.3,5,0,0,0,0,0,2.6,0.2,2,1,1,1.2,2
"41-2010","2010","41",51385,0,21.8,0.5,2001.7,0,27.2,21,1,3862.8,0,26.4,21.2,0.5,1948.3,0,27.5,589.7,324.7,10.8,1.7,12.3,1.6,0,58,997.2,324.7,10.2,1.9,15.5,3.9,0.1,61.8,208.2,172.4,5.7,2.5,21.9,2.4,0.3,31.6,4.1,9.6,6.3,0,0,0,0,0,0,0,0,0,0,0.9,1,0.7,1.4,0,1.6,0.8,2,0.5,1.5,0.4,2,0.1,2.7,0,1.9,0.8,2.6,1,2.7,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",30120,2.93,88238.7,1,21.3,0.5,1962.3,0,26.1,347.4,179.6,9.9,2.6,14.6,3.3,0.1,66,7.1,0,0,0,0,0.5,2.2,0.8,2.2,0.6,2.1,0.9,2
"41-2011","2011","41",51385,0,22,0.9,2025.3,0,28.6,21.2,1.1,3893.5,0,27.4,20.4,0.7,1880.8,0,26.2,330.7,201.7,10.4,2.9,28.2,2.6,1,65.7,852.3,201.7,9.6,2.1,28.3,3.8,1,65.7,498.5,437.2,12.6,2.3,27.8,2.8,1,79,5.3,11.8,4.1,0,0,0,0,0,0,0,0,0,0,1.2,2.1,1,1,0.6,2.4,0.3,2.7,0.6,2.4,0,1.7,0,1.5,0.8,2.1,1,1,1,1,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",158411,0.55,86432.49,1,21.2,0.5,1948.3,0,27.5,208.2,172.4,5.7,2.5,21.9,2.4,0.3,31.6,6.3,0,0,0,0,0.1,2.7,0,1.9,0.8,2.6,1,2.7
"41-2012","2012","41",51385,0,21.6,1,1984.2,0,28,20.8,1.1,3824.4,0,26.7,20.8,0.5,1912.6,0,26.8,642.7,313.2,10.7,1.5,22.9,1,0.8,44.6,1087.4,313.2,9.6,1.6,22.9,2.4,0.8,45.2,364,269.2,10.3,2.6,36.7,1.5,1,52.4,3.2,8.2,4.9,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0.5,0,1.5,0.5,2.1,0,1.5,0,2,0.3,2,0.4,2.6,1,2.2,1,1.1,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",31533,3.02,95072,1,20.4,0.7,1880.8,0,26.2,498.5,437.2,12.6,2.3,27.8,2.8,1,79,4.1,0,0,0,0,0,1.5,0.8,2.1,1,1,1,1
"41-2013","2013","41",51385,0,21.5,1,1975.5,0,27.7,20.7,1.2,3803.2,0,26.7,20.9,0.6,1925.6,0,26.7,561.8,384.2,9,1.5,19.1,1.1,0.6,44.3,1024.3,384.2,8.7,1.6,23.8,1.8,1,50.6,303.8,233.6,7.6,2.3,14.9,2.3,0.1,37.8,3.3,8.4,7,0,0,0,0,0,0,0,0,0,0,0.1,1.9,0,0.2,1,1.2,0.5,2,0.2,2,0,1.9,1.1,1.9,0.8,1.7,0,2.8,0.6,2.8,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",32015,3.27,104593.01,1,20.8,0.5,1912.6,0,26.8,364,269.2,10.3,2.6,36.7,1.5,1,52.4,4.9,0,0,0,0,0.3,2,0.4,2.6,1,2.2,1,1.1
"41-2014","2014","41",51385,0,21.7,0.8,1998,0,28.2,21.1,1,3876.9,0,27.1,21,0.5,1934.1,0,27.1,253.4,140.1,7.6,2.8,22.2,1.9,0.6,38.9,631.8,140.1,9.3,2.7,23.3,3.3,0.8,73.5,303.1,261.8,8.1,2.5,19.8,2,0.7,47.8,8.3,14.7,5.6,0,0,0,0,0,0,0,0,0,0,1,2.9,0.8,2,0,3.8,0,2,0.6,3.3,0.3,1.4,1.2,1.6,0.3,1.9,0.9,2,0.8,2.4,"Marakwet","Rift Valley","Elgeyo Marakwet","Elgeyo Marakwet",27620,3.87,106889.4,1,20.9,0.6,1925.6,0,26.7,303.8,233.6,7.6,2.3,14.9,2.3,0.1,37.8,7,0,0,0,0,1.1,1.9,0.8,1.7,0,2.8,0.6,2.8
"42-1981","1981","42",51386,0,15.7,1,1444.5,0,23,14.8,1.3,2720.1,0,21.6,15.5,0.6,1428.1,0,22.1,545,399,8.4,1.4,8.9,0.4,0,39.8,824.4,399,7.1,1.6,13.5,2.3,0.2,39.8,160.9,106.6,3.4,2,14,1.1,0,16,3.1,7.3,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0.4,1.4,1,1.2,0.4,1.6,0.5,1.4,0.7,1.8,0.1,3.5,0.1,2.4,0.8,2.5,"Nakuru","Rift Valley","Nakuru","Nakuru",37485,2.7,101209,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42-1982","1982","42",51386,0,16.3,1.1,1495.3,0,22.9,15.3,1.4,2813.6,0,21.9,15,0.6,1376.6,0,22.9,381,210.3,8.3,2,15.8,1,0.1,46.7,586.1,210.3,7.2,2.3,17.3,2.8,0.1,49.1,396.5,308.1,8.7,2,9.8,0.7,0,44.3,5.7,14.4,6.4,0,0,0,0,0,0,0,0,0,0,0.7,2.3,0.1,1.4,0.2,2,0.1,3.4,0.8,2.8,0.4,2,0.3,2,0,2.1,0,1.6,0.7,2.7,"Nakuru","Rift Valley","Nakuru","Nakuru",45805,1.45,66510,1,15.5,0.6,1428.1,0,22.1,160.9,106.6,3.4,2,14,1.1,0,16,7.8,0,0,0,0,0.7,1.8,0.1,3.5,0.1,2.4,0.8,2.5
"42-1983","1983","42",51386,0,17,1,1560.7,0,23.6,15.8,1.5,2900.2,0,22.4,15.3,0.5,1405.3,0,22.5,277.1,172.5,7.4,2.5,15.4,1.6,0.2,42.9,551.5,172.5,6.8,2.3,19.7,3.5,0.6,44.7,251.1,159.9,7.8,2.9,24,2.8,0.6,48,5.2,10,6.6,0,0,0,0,0,0,0,0,0,0,0.7,2.5,0.9,1.9,0.1,0.9,0.2,1.9,0.7,2.3,0.6,1.1,0.3,2.3,0.5,2.4,1.7,2.3,1,2.3,"Nakuru","Rift Valley","Nakuru","Nakuru",44480,3.56,158445,1,15,0.6,1376.6,0,22.9,396.5,308.1,8.7,2,9.8,0.7,0,44.3,6.4,0,0,0,0,0.3,2,0,2.1,0,1.6,0.7,2.7
"42-1984","1984","42",51386,0,16.6,0.9,1523.8,0,22.5,15.4,1.4,2828.1,0,21.5,14.9,0.6,1368.2,0,22.2,132.5,105.5,3.8,2.7,22.7,2.9,0.9,21.2,286.3,105.5,3.8,2.5,27.6,5,1.5,25.6,257.4,195.8,5.8,2.1,17.2,1.2,0.6,32.2,6.5,12.1,6,0,0,0,0,0,0,0,0,0,0,1.3,1.6,0.2,2.3,0.9,2.6,1.3,2.3,0.6,1.7,0.3,1.6,0.9,2.7,0.1,2.4,0,1.7,1,2.1,"Nakuru",NA,NA,NA,NA,NA,NA,NA,15.3,0.5,1405.3,0,22.5,251.1,159.9,7.8,2.9,24,2.8,0.6,48,6.6,0,0,0,0,0.3,2.3,0.5,2.4,1.7,2.3,1,2.3
"42-1985","1985","42",51386,0,15.7,0.9,1448.3,0,23,14.7,1.3,2709.3,0,21.6,15.2,0.7,1400.9,0,22.1,469.5,329.6,9.6,1.9,14.8,1.1,0.1,50.8,681.4,329.6,8.3,2.3,21.9,3.2,1.1,53,155.2,128.1,4.2,2.5,15.1,1.7,0.2,24.7,4.6,10.3,8,0,0,0,0,0,0,0,0,0,0,0.9,2,0,0.9,0.2,1.6,1.2,2.3,0.9,2.3,0.5,2.5,0.6,2.5,0.2,2.8,0.1,2.6,1,2.7,"Nakuru","Rift Valley","Nakuru","Nakuru",61500,2.7,166050,1,14.9,0.6,1368.2,0,22.2,257.4,195.8,5.8,2.1,17.2,1.2,0.6,32.2,6,0,0,0,0,0.9,2.7,0.1,2.4,0,1.7,1,2.1
"42-1986","1986","42",51386,0,16.1,1.2,1481.7,0,23,15,1.5,2754.9,0,21.5,15.9,0.8,1459.8,0,23,367.1,245.1,7.7,1.9,19.7,1.7,0.6,45.3,587.1,245.1,7.1,2.3,21.2,3.8,0.7,49.5,213.8,142.7,5.6,2.5,12.8,2.1,0,31.3,4.3,10.7,6.8,0,0,0,0,0,0,0,0,0,0,1.1,2.1,0,0.8,0.6,1.7,0.2,2.3,1.2,2.2,0.6,2.5,1.3,2.6,0.9,2.1,0,2,1.1,2.7,"Nakuru","Rift Valley","Nakuru","Nakuru",61900,2.7,167130,1,15.2,0.7,1400.9,0,22.1,155.2,128.1,4.2,2.5,15.1,1.7,0.2,24.7,8,0,0,0,0,0.6,2.5,0.2,2.8,0.1,2.6,1,2.7
"42-1987","1987","42",51386,0,17.1,1.2,1570.2,0,23.3,15.7,1.7,2890.8,0,22,16.4,0.7,1505.7,0,22.6,297.9,167.6,7.6,2.3,14.9,1.4,0,42.7,524.5,167.6,6.8,2.4,17.6,3.9,0.1,45.2,169.9,150.6,4.4,2.4,15.3,1.3,0.1,25.4,6.5,11.8,8.1,0,0,0,0,0,0,0,0,0,0,1.2,2.1,0.1,3.1,0.1,2.3,0.5,1.5,1.1,2.2,0.5,2.5,1.1,2.3,0.3,2.6,0.2,2.8,0.7,2.8,"Nakuru","Rift Valley","Nakuru","Nakuru",64350,1.62,104247,1,15.9,0.8,1459.8,0,23,213.8,142.7,5.6,2.5,12.8,2.1,0,31.3,6.8,0,0,0,0,1.3,2.6,0.9,2.1,0,2,1.1,2.7
"42-1988","1988","42",51386,0,16.3,1.1,1503.2,0,23.4,15.2,1.4,2802.1,0,22.2,15,0.5,1382,0,21.9,480.4,328.4,9.8,1.9,13,1.9,0,59.3,737.5,328.4,8.5,2.2,17.5,4.3,0.1,60.1,191.4,139.8,5.1,2.5,21.6,2.2,0.5,30.1,3.9,10.3,4.7,0,0,0,0,0,0,0,0,0,0,0.9,1.9,0,1.2,1,1.7,1,1.9,0.1,2.5,0.7,2.5,0.7,2,0.6,2.2,0.7,1.2,1,2.1,"Nakuru","Rift Valley","Nakuru","Nakuru",66618,2.7,179869,1,16.4,0.7,1505.7,0,22.6,169.9,150.6,4.4,2.4,15.3,1.3,0.1,25.4,8.1,0,0,0,0,1.1,2.3,0.3,2.6,0.2,2.8,0.7,2.8
"42-1989","1989","42",51386,0,15.5,0.9,1427.2,0,22.4,14.6,1.2,2684.5,0,21.4,15.2,0.5,1399.7,0,22.7,374,250.4,8.4,2,12.3,2.9,0,42.1,596.5,250.4,7.4,2.3,21.8,5.4,0.7,43.1,318.9,207.7,7.1,2.1,12.8,1.9,0,43.3,6.1,11.8,5.7,0,0,0,0,0,0,0,0,0,0,0.7,2.5,1,1.7,1,2.3,0.8,2.8,0.6,2.2,1.3,2.3,0.9,1.9,0.2,2.2,0.4,1.8,1,1.6,"Nakuru","Rift Valley","Nakuru","Nakuru",61244,2.52,154395,1,15,0.5,1382,0,21.9,191.4,139.8,5.1,2.5,21.6,2.2,0.5,30.1,4.7,0,0,0,0,0.7,2,0.6,2.2,0.7,1.2,1,2.1
"42-1990","1990","42",51386,0,15.5,0.7,1425.6,0,21.6,14.7,1.1,2705.2,0,21.1,15.2,0.7,1398.3,0,22.4,509.4,381.1,8.9,1.6,13.3,1.2,0,42.1,652.3,381.1,7.6,2.1,17.1,4.2,0.1,45.6,203.1,147.6,6,2.7,15.8,1.6,0.3,40.1,4,10.9,7.4,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1,1.7,0.7,2.2,0.8,2.6,0.8,2.5,1,2.5,0.9,2.3,0.2,2.7,0.1,1.9,0.9,2.1,"Nakuru","Rift Valley","Nakuru","Nakuru",60475,2.25,136068,1,15.2,0.5,1399.7,0,22.7,318.9,207.7,7.1,2.1,12.8,1.9,0,43.3,5.7,0,0,0,0,0.9,1.9,0.2,2.2,0.4,1.8,1,1.6
"42-1991","1991","42",51386,0,16.2,0.7,1491.7,0,23.2,15.1,1.3,2784.3,0,21.8,15.2,0.7,1397.5,0,22.4,343.7,210.1,10.1,2.6,15,2.4,0.2,62.7,563.2,210.1,8.7,2.9,22.3,4.8,0.7,68.8,195.1,136.6,7.9,3.8,21.9,2.6,1,58.6,6.5,12.3,5.7,0,0,0,0,0,0,0,0,0,0,1.4,2.1,0.4,2.5,0.5,2,0.8,1.8,1,2.4,0.9,1.9,0.5,2.6,0.8,2.5,0.7,1.7,1,2.3,"Nakuru",NA,NA,NA,NA,NA,NA,NA,15.2,0.7,1398.3,0,22.4,203.1,147.6,6,2.7,15.8,1.6,0.3,40.1,7.4,0,0,0,0,0.9,2.3,0.2,2.7,0.1,1.9,0.9,2.1
